Day,Category,Event,Start Time,End Time,Venue,Venue Photos,Map Navigation
Day 3,Competition,Beat the Market,09:00,17:00,L-9,https://www.google.com/search?tbm=isch&q=L-9%20IIT%20Kanpur,https://www.google.com/maps/search/?api=1&query=L-9%20IIT%20Kanpur
Day 3,Competition,Pitch Premier,09:00,17:00,L-12,https://www.google.com/search?tbm=isch&q=L-12%20IIT%20Kanpur,https://www.google.com/maps/search/?api=1&query=L-12%20IIT%20Kanpur
Day 3,Competition,UNSC,09:30,12:30,Senate,https://www.google.com/search?tbm=isch&q=Senate%20IIT%20Kanpur,https://www.google.com/maps/search/?api=1&query=Senate%20IIT%20Kanpur
Day 3,Competition,TGP,10:00,17:00,Football Ground,https://www.google.com/search?tbm=isch&q=Football%20Ground%20IIT%20Kanpur,https://www.google.com/maps/search/?api=1&query=Football%20Ground%20IIT%20Kanpur
Day 3,Competition,Multirotor,10:00,17:00,Events Ground,https://www.google.com/search?tbm=isch&q=Events%20Ground%20IIT%20Kanpur,https://www.google.com/maps/search/?api=1&query=Events%20Ground%20IIT%20Kanpur
Day 3,Competition,Lok Sabha,13:30,16:30,Senate,https://www.google.com/search?tbm=isch&q=Senate%20IIT%20Kanpur,https://www.google.com/maps/search/?api=1&query=Senate%20IIT%20Kanpur
Day 3,Competition,Robowars,23:00,03:00,OAT,https://www.google.com/search?tbm=isch&q=OAT%20IIT%20Kanpur,https://www.google.com/maps/search/?api=1&query=OAT%20IIT%20Kanpur
Day 3,Talk,Women Panel,14:00,14:45,Center Stage,https://www.google.com/search?tbm=isch&q=Center%20Stage%20IIT%20Kanpur,https://www.google.com/maps/search/?api=1&query=Center%20Stage%20IIT%20Kanpur
Day 3,Talk,AWS Keynote,14:45,15:30,L-18,https://www.google.com/search?tbm=isch&q=L-18%20IIT%20Kanpur,https://www.google.com/maps/search/?api=1&query=L-18%20IIT%20Kanpur
Day 3,Talk,Air Marshal Manikanthan,16:00,17:00,L-18,https://www.google.com/search?tbm=isch&q=L-18%20IIT%20Kanpur,https://www.google.com/maps/search/?api=1&query=L-18%20IIT%20Kanpur
Day 3,Show,Band Night,20:00,22:00,Pronite Ground,https://www.google.com/search?tbm=isch&q=Pronite%20Ground%20IIT%20Kanpur,https://www.google.com/maps/search/?api=1&query=Pronite%20Ground%20IIT%20Kanpur
Day 3,Show,Ankit K,23:00,00:00,Events Ground,https://www.google.com/search?tbm=isch&q=Events%20Ground%20IIT%20Kanpur,https://www.google.com/maps/search/?api=1&query=Events%20Ground%20IIT%20Kanpur
Day 3,Show,HR Kalakar,01:00,01:30,Events Ground,https://www.google.com/search?tbm=isch&q=Events%20Ground%20IIT%20Kanpur,https://www.google.com/maps/search/?api=1&query=Events%20Ground%20IIT%20Kanpur
Day 4,Competition,NPCI Hackathon,00:00,06:00,L-16,https://www.google.com/search?tbm=isch&q=L-16%20IIT%20Kanpur,https://www.google.com/maps/search/?api=1&query=L-16%20IIT%20Kanpur
Day 4,Competition,Trade Quest,09:00,12:00,L-9,https://www.google.com/search?tbm=isch&q=L-9%20IIT%20Kanpur,https://www.google.com/maps/search/?api=1&query=L-9%20IIT%20Kanpur
Day 4,Competition,Industry Institute Interaction,09:00,12:00,L-10,https://www.google.com/search?tbm=isch&q=L-10%20IIT%20Kanpur,https://www.google.com/maps/search/?api=1&query=L-10%20IIT%20Kanpur
Day 4,Competition,Product Challenge,09:00,13:00,L-11,https://www.google.com/search?tbm=isch&q=L-11%20IIT%20Kanpur,https://www.google.com/maps/search/?api=1&query=L-11%20IIT%20Kanpur
Day 4,Competition,Manoeuvre,09:00,16:30,Events Ground,https://www.google.com/search?tbm=isch&q=Events%20Ground%20IIT%20Kanpur,https://www.google.com/maps/search/?api=1&query=Events%20Ground%20IIT%20Kanpur
Day 4,Talk,Lt Gen D.P. Pandey Panel,14:30,15:30,L-18,https://www.google.com/search?tbm=isch&q=L-18%20IIT%20Kanpur,https://www.google.com/maps/search/?api=1&query=L-18%20IIT%20Kanpur
Day 4,Show,Bollywood Night,20:00,22:00,Pronite Ground,https://www.google.com/search?tbm=isch&q=Pronite%20Ground%20IIT%20Kanpur,https://www.google.com/maps/search/?api=1&query=Pronite%20Ground%20IIT%20Kanpur
Day 4,Show,Sanam Malik,23:00,00:00,Events Ground,https://www.google.com/search?tbm=isch&q=Events%20Ground%20IIT%20Kanpur,https://www.google.com/maps/search/?api=1&query=Events%20Ground%20IIT%20Kanpur
